;Variety;Sugar content (g/l);x.397.32;x.400.2;x.403.09;x.405.97;x.408.85;x.411.74;x.414.63;x.417.52;x.420.4;x.423.29;x.426.19;x.429.08;x.431.97;x.434.87;x.437.76;x.440.66;x.443.56;x.446.45;x.449.35;x.452.25;x.455.16;x.458.06;x.460.96;x.463.87;x.466.77;x.469.68;x.472.59;x.475.5;x.478.41;x.481.32;x.484.23;x.487.14;x.490.06;x.492.97;x.495.89;x.498.8;x.501.72;x.504.64;x.507.56;x.510.48;x.513.4;x.516.33;x.519.25;x.522.18;x.525.1;x.528.03;x.530.96;x.533.89;x.536.82;x.539.75;x.542.68;x.545.62;x.548.55;x.551.49;x.554.43;x.557.36;x.560.3;x.563.24;x.566.18;x.569.12;x.572.07;x.575.01;x.577.96;x.580.9;x.583.85;x.586.8;x.589.75;x.592.7;x.595.65;x.598.6;x.601.55;x.604.51;x.607.46;x.610.42;x.613.38;x.616.34;x.619.3;x.622.26;x.625.22;x.628.18;x.631.15;x.634.11;x.637.08;x.640.04;x.643.01;x.645.98;x.648.95;x.651.92;x.654.89;x.657.87;x.660.84;x.663.81;x.666.79;x.669.77;x.672.75;x.675.73;x.678.71;x.681.69;x.684.67;x.687.65;x.690.64;x.693.62;x.696.61;x.699.6;x.702.58;x.705.57;x.708.57;x.711.56;x.714.55;x.717.54;x.720.54;x.723.53;x.726.53;x.729.53;x.732.53;x.735.53;x.738.53;x.741.53;x.744.53;x.747.54;x.750.54;x.753.55;x.756.56;x.759.56;x.762.57;x.765.58;x.768.6;x.771.61;x.774.62;x.777.64;x.780.65;x.783.67;x.786.68;x.789.7;x.792.72;x.795.74;x.798.77;x.801.79;x.804.81;x.807.84;x.810.86;x.813.89;x.816.92;x.819.95;x.822.98;x.826.01;x.829.04;x.832.07;x.835.11;x.838.14;x.841.18;x.844.22;x.847.25;x.850.29;x.853.33;x.856.37;x.859.42;x.862.46;x.865.5;x.868.55;x.871.6;x.874.64;x.877.69;x.880.74;x.883.79;x.886.84;x.889.9;x.892.95;x.896.01;x.899.06;x.902.12;x.905.18;x.908.24;x.911.3;x.914.36;x.917.42;x.920.48;x.923.55;x.926.61;x.929.68;x.932.74;x.935.81;x.938.88;x.941.95;x.945.02;x.948.1;x.951.17;x.954.24;x.957.32;x.960.4;x.963.47;x.966.55;x.969.63;x.972.71;x.975.79;x.978.88;x.981.96;x.985.05;x.988.13;x.991.22;x.994.31;x.997.4;x.1000.4;x.1003.5
1;SYRAH;144.738;0.14352391;0.12199017;0.10853045;0.09804512;0.09043544;0.08451538;0.07860427;0.07422626;0.07020175;0.06611302;0.06297337;0.06102965;0.05824943;0.05694969;0.05566903;0.05446803;0.05329682;0.05233071;0.05196590;0.05081746;0.05031119;0.04919532;0.04851143;0.04760294;0.04641089;0.04567348;0.04492487;0.04423804;0.04363903;0.04318543;0.04249757;0.04180217;0.04142938;0.04113491;0.04069651;0.04019466;0.04012116;0.03979995;0.03967864;0.03950725;0.03944042;0.03929274;0.03916712;0.03893859;0.03882829;0.03856856;0.03841759;0.03824961;0.03808962;0.03797578;0.03798793;0.03777584;0.03762116;0.03741801;0.03738683;0.03725773;0.03730272;0.03724786;0.03733794;0.03734280;0.03730423;0.03743736;0.03782023;0.03800855;0.03838022;0.03867869;0.03910463;0.03961318;0.04023492;0.04083202;0.04158575;0.04236972;0.04314856;0.04390904;0.04455147;0.04522345;0.04611181;0.04695602;0.04781741;0.04857341;0.04969499;0.05049216;0.05114384;0.05176133;0.05226374;0.05252443;0.05322201;0.05393729;0.05491586;0.05515186;0.05485313;0.05398266;0.05363659;0.05359105;0.05421213;0.05573101;0.05798653;0.06215929;0.06977575;0.08167329;0.09767116;0.11576803;0.13359478;0.14994469;0.16512357;0.17907740;0.19198232;0.20338637;0.21520533;0.22529274;0.23590857;0.24542026;0.25460794;0.26294825;0.27155296;0.27897287;0.28664274;0.29390376;0.30107165;0.30789854;0.31431103;0.32130316;0.32774304;0.33251121;0.33540442;0.34153869;0.34654949;0.35065469;0.35627986;0.35998775;0.36425935;0.36872025;0.37219029;0.37606311;0.38048774;0.38414992;0.38852461;0.39137850;0.39561381;0.39839999;0.40088781;0.40290437;0.40519361;0.40705892;0.40916092;0.40969153;0.40964440;0.40935638;0.40953653;0.41082335;0.41235933;0.41474769;0.41703978;0.42147695;0.42440072;0.42540182;0.42666490;0.42625328;0.42555057;0.42577681;0.42513688;0.42649160;0.42615178;0.42554475;0.42663268;0.42599899;0.42515674;0.42571815;0.42531148;0.42450499;0.42491183;0.42456901;0.42485877;0.42405977;0.42340298;0.42356238;0.42066757;0.41718223;0.41372552;0.40839175;0.40270506;0.39406340;0.38589574;0.37794078;0.36804935;0.35556363;0.34312367;0.32768634;0.31661331;0.30939851;0.30607317;0.30322179;0.30685957;0.30505200;0.30582869;0.31296123;0.31594759;0.32199366;0.32836019;0.33327328;0.34316881;0.35192289;0.35995968;0.34037912
2;SYRAH;163.251;0.14202877;0.12158023;0.10759772;0.09613941;0.08994121;0.08371815;0.07764748;0.07266564;0.06864511;0.06422850;0.06146259;0.05924886;0.05692230;0.05532992;0.05383867;0.05235640;0.05144025;0.05057680;0.04950361;0.04891367;0.04796554;0.04709606;0.04617881;0.04522492;0.04443943;0.04352204;0.04278439;0.04203305;0.04150200;0.04086152;0.04022221;0.03966082;0.03928760;0.03886127;0.03846774;0.03802471;0.03780870;0.03749473;0.03744148;0.03716052;0.03710893;0.03690076;0.03669222;0.03664265;0.03644289;0.03629860;0.03608990;0.03594556;0.03564514;0.03552144;0.03563710;0.03549280;0.03522012;0.03497183;0.03486691;0.03463647;0.03474883;0.03462648;0.03450292;0.03444936;0.03455825;0.03458085;0.03469534;0.03478818;0.03508765;0.03518598;0.03532029;0.03558419;0.03598249;0.03628624;0.03668496;0.03707525;0.03757108;0.03804891;0.03847367;0.03864767;0.03914767;0.03950655;0.03991423;0.04042846;0.04091547;0.04139720;0.04206179;0.04254090;0.04301694;0.04349202;0.04421995;0.04502846;0.04596389;0.04628789;0.04648332;0.04645190;0.04680519;0.04733369;0.04837632;0.05005516;0.05240436;0.05605616;0.06217322;0.07126760;0.08346927;0.09701770;0.11076191;0.12350543;0.13624933;0.14832079;0.15991136;0.17059532;0.18137341;0.19169926;0.20227619;0.21219047;0.22166170;0.23061142;0.24008066;0.24886650;0.25743996;0.26578326;0.27407604;0.28201731;0.28990768;0.29743247;0.30547546;0.31174461;0.31590593;0.32289725;0.32917605;0.33466516;0.34163690;0.34655416;0.35208030;0.35702338;0.36230629;0.36757853;0.37307976;0.37696733;0.38305280;0.38705107;0.39210002;0.39613948;0.39997350;0.40195269;0.40624238;0.40848435;0.41064849;0.41262207;0.41438037;0.41503143;0.41563706;0.41731539;0.41924297;0.42270745;0.42586930;0.43133051;0.43462028;0.43567607;0.43700621;0.43641371;0.43645462;0.43713302;0.43833342;0.43863103;0.44012370;0.43854295;0.43919806;0.43942631;0.43938682;0.43972863;0.43880891;0.43848697;0.43899212;0.43815983;0.43818333;0.43844990;0.43766527;0.43711100;0.43528034;0.43181049;0.42742080;0.42300475;0.41584392;0.40911996;0.40042311;0.39147968;0.38089017;0.36904685;0.35471973;0.33882271;0.32676875;0.31837799;0.31276915;0.31255834;0.31236190;0.31303979;0.31402195;0.31575873;0.32116383;0.32547233;0.33322697;0.34020954;0.35028111;0.35794239;0.36546795;0.34206352
3;SYRAH;178.398;0.15240930;0.12847912;0.11514345;0.10436598;0.09714183;0.09098166;0.08460007;0.08026495;0.07625374;0.07255284;0.06938937;0.06669730;0.06485411;0.06272102;0.06143440;0.05986013;0.05878686;0.05774853;0.05671597;0.05572922;0.05504288;0.05393798;0.05317225;0.05205311;0.05091941;0.05007663;0.04928875;0.04837633;0.04771331;0.04717636;0.04667769;0.04592797;0.04545316;0.04499450;0.04450443;0.04409318;0.04382840;0.04350560;0.04329673;0.04318412;0.04304737;0.04278082;0.04267707;0.04251832;0.04231229;0.04208446;0.04187082;0.04153105;0.04141431;0.04136317;0.04147156;0.04127102;0.04091335;0.04051822;0.04036309;0.04022452;0.04020653;0.04010883;0.04006610;0.03996949;0.03997695;0.03998156;0.04015358;0.04021602;0.04045690;0.04047758;0.04075640;0.04098409;0.04144316;0.04186286;0.04226772;0.04274104;0.04332360;0.04377117;0.04411725;0.04434654;0.04475036;0.04496389;0.04545163;0.04574813;0.04637145;0.04663407;0.04720109;0.04755379;0.04805803;0.04865845;0.04932358;0.05012925;0.05091020;0.05158679;0.05200825;0.05203029;0.05218860;0.05249301;0.05336043;0.05470023;0.05674721;0.05984454;0.06525867;0.07338620;0.08359699;0.09511925;0.10704861;0.11805051;0.12957022;0.14058941;0.15158979;0.16164657;0.17214236;0.18194308;0.19272317;0.20260828;0.21273657;0.22209879;0.23204770;0.24130928;0.25099408;0.25996213;0.26913932;0.27856282;0.28674590;0.29547502;0.30523283;0.31323855;0.32032856;0.32746630;0.33570820;0.34226600;0.34959375;0.35733956;0.36465125;0.37080788;0.37771873;0.38394893;0.39016839;0.39616900;0.40294572;0.40961691;0.41530050;0.42098978;0.42583837;0.43023290;0.43459014;0.43865447;0.44156239;0.44513923;0.44744219;0.44862524;0.45064988;0.45287309;0.45573300;0.45941776;0.46375034;0.46955762;0.47496467;0.47897649;0.48063546;0.48116922;0.48175213;0.48235373;0.48266082;0.48420808;0.48523976;0.48589545;0.48684412;0.48626620;0.48560700;0.48709112;0.48646667;0.48694602;0.48621013;0.48674018;0.48685393;0.48575408;0.48473332;0.48305424;0.48125012;0.47682629;0.47269012;0.46499252;0.45667992;0.44715551;0.43886846;0.42930926;0.41677138;0.40067083;0.38661280;0.36792665;0.35196318;0.34411418;0.33998604;0.33436289;0.33625110;0.33527324;0.33391435;0.33924339;0.34082469;0.34756686;0.35298702;0.36136725;0.37058933;0.37614307;0.38739579;0.35447694
4;SYRAH;193.545;0.15067061;0.12967549;0.11572563;0.10583451;0.09753918;0.09116729;0.08580376;0.08140699;0.07753605;0.07396122;0.07131477;0.06857251;0.06645604;0.06490721;0.06302289;0.06172690;0.06065550;0.05968550;0.05881335;0.05805678;0.05702812;0.05606215;0.05526699;0.05423542;0.05312819;0.05225997;0.05150706;0.05074245;0.05007087;0.04935883;0.04883044;0.04806694;0.04757687;0.04700817;0.04669173;0.04621814;0.04587974;0.04566104;0.04553512;0.04541536;0.04532013;0.04504160;0.04482000;0.04475089;0.04465953;0.04435572;0.04413753;0.04386038;0.04357433;0.04353697;0.04355976;0.04328289;0.04301664;0.04269681;0.04267539;0.04246685;0.04241059;0.04230504;0.04226745;0.04210689;0.04211481;0.04210341;0.04230284;0.04231457;0.04254159;0.04257530;0.04283301;0.04303105;0.04342660;0.04369766;0.04417387;0.04449150;0.04498331;0.04539057;0.04564667;0.04575375;0.04610027;0.04637065;0.04682096;0.04707077;0.04739008;0.04774062;0.04811489;0.04846212;0.04891578;0.04946864;0.05019920;0.05086209;0.05179218;0.05244989;0.05270364;0.05282968;0.05314950;0.05366657;0.05480248;0.05637244;0.05843352;0.06150409;0.06657240;0.07359832;0.08254417;0.09240303;0.10278501;0.11249709;0.12259930;0.13268406;0.14259301;0.15196784;0.16195914;0.17129007;0.18109129;0.19056524;0.20018474;0.20908271;0.21843879;0.22775725;0.23669400;0.24561101;0.25439115;0.26301885;0.27130367;0.27945791;0.28928560;0.29721516;0.30360096;0.31089248;0.31801707;0.32448966;0.33198663;0.33924589;0.34609548;0.35210211;0.35830131;0.36442455;0.37031728;0.37627562;0.38318928;0.38902539;0.39490944;0.40058846;0.40490341;0.40903982;0.41345781;0.41721839;0.42086979;0.42378363;0.42573405;0.42765867;0.42908124;0.43207325;0.43544474;0.43746040;0.44221642;0.44703641;0.45307742;0.45677756;0.45779710;0.45760329;0.45894189;0.45971016;0.46004241;0.46152494;0.46232161;0.46309830;0.46271210;0.46313403;0.46227990;0.46393118;0.46313208;0.46350650;0.46408974;0.46371141;0.46376855;0.46264570;0.46197642;0.46198015;0.45898196;0.45510770;0.45295871;0.44633882;0.43975601;0.43134893;0.42182813;0.41335240;0.40120497;0.38943725;0.37471994;0.35765705;0.34487013;0.33529301;0.33053286;0.32944026;0.32742005;0.32623956;0.32618867;0.32961379;0.33472013;0.33742885;0.34272540;0.34817578;0.35808411;0.36281364;0.37440564;0.34218137
5;SYRAH;156.519;0.14940575;0.12573589;0.11301400;0.10139552;0.09389115;0.08743262;0.08189060;0.07690595;0.07237737;0.06897356;0.06595975;0.06303587;0.06096446;0.05930085;0.05749956;0.05618304;0.05526446;0.05419552;0.05330278;0.05238581;0.05174010;0.05064824;0.04963024;0.04876210;0.04794789;0.04702197;0.04649145;0.04570241;0.04517735;0.04452155;0.04387756;0.04323596;0.04277173;0.04241552;0.04196374;0.04162908;0.04130908;0.04116917;0.04114764;0.04112105;0.04112037;0.04092242;0.04090294;0.04083682;0.04067722;0.04045142;0.04025254;0.04006437;0.03996816;0.03997103;0.04010236;0.03988684;0.03967735;0.03934404;0.03937597;0.03931976;0.03927933;0.03928465;0.03928427;0.03926534;0.03938554;0.03948682;0.03975100;0.04000092;0.04039717;0.04062848;0.04100575;0.04150266;0.04211360;0.04258140;0.04342986;0.04419982;0.04503748;0.04579582;0.04652904;0.04700737;0.04773997;0.04831247;0.04920527;0.04992668;0.05086404;0.05151283;0.05203068;0.05271893;0.05328265;0.05384077;0.05467000;0.05552682;0.05660772;0.05726503;0.05728423;0.05673761;0.05640564;0.05642261;0.05731850;0.05866130;0.06091923;0.06485703;0.07191655;0.08281790;0.09714438;0.11311377;0.12930449;0.14401262;0.15835040;0.17153200;0.18410761;0.19555157;0.20695341;0.21760632;0.22840365;0.23846154;0.24838127;0.25744298;0.26646905;0.27535520;0.28401396;0.29223095;0.30040023;0.30825817;0.31561792;0.32304406;0.33181962;0.33878427;0.34423404;0.34959340;0.35623919;0.36124814;0.36681673;0.37262104;0.37835109;0.38347540;0.38832245;0.39298216;0.39736408;0.40175144;0.40747876;0.41164342;0.41671449;0.42024545;0.42361686;0.42560065;0.42975659;0.43151951;0.43355547;0.43471746;0.43424599;0.43528290;0.43590099;0.43689960;0.43822936;0.44080939;0.44384118;0.44771421;0.45305138;0.45509764;0.45635637;0.45518252;0.45470471;0.45510902;0.45496851;0.45558047;0.45595165;0.45486449;0.45500852;0.45507191;0.45489842;0.45469127;0.45358653;0.45343326;0.45235412;0.45287275;0.45281260;0.45248381;0.45042621;0.44803307;0.44817221;0.44362489;0.43921610;0.43189070;0.42456005;0.41553930;0.40833789;0.39879718;0.38739875;0.37367850;0.35787108;0.34307202;0.33104665;0.32248190;0.31528861;0.31469251;0.31609996;0.31663576;0.31707506;0.32284762;0.32455851;0.33146642;0.33705330;0.34467553;0.35458278;0.36017529;0.37375333;0.34211540
6;SYRAH;161.568;0.16084017;0.13783383;0.12082073;0.10867678;0.10081336;0.09318460;0.08715796;0.08167189;0.07669462;0.07303731;0.06968377;0.06635866;0.06389720;0.06255618;0.06065702;0.05856419;0.05790232;0.05677003;0.05582430;0.05481343;0.05383472;0.05259398;0.05186093;0.05067680;0.04939638;0.04856077;0.04791645;0.04706750;0.04648826;0.04577408;0.04509418;0.04440744;0.04403691;0.04350672;0.04312336;0.04265845;0.04237099;0.04221421;0.04205254;0.04188256;0.04193091;0.04164870;0.04158665;0.04139331;0.04135680;0.04103092;0.04093561;0.04060858;0.04048652;0.04036420;0.04041182;0.04033372;0.04011938;0.03983980;0.03982646;0.03966473;0.03963726;0.03973422;0.03973970;0.03970455;0.03983047;0.03990446;0.04024816;0.04042063;0.04083861;0.04107699;0.04147907;0.04202748;0.04263598;0.04324589;0.04405091;0.04479484;0.04562453;0.04644700;0.04712302;0.04759230;0.04843082;0.04914640;0.05003179;0.05075130;0.05175917;0.05247652;0.05328776;0.05381765;0.05453549;0.05500220;0.05592288;0.05695764;0.05810796;0.05880481;0.05885030;0.05850853;0.05841997;0.05855657;0.05962457;0.06143773;0.06419527;0.06861196;0.07634586;0.08793739;0.10282413;0.11937161;0.13600744;0.15127716;0.16585068;0.17989712;0.19280182;0.20506770;0.21737422;0.22856327;0.24043981;0.25142665;0.26205846;0.27198195;0.28265953;0.29225864;0.30193158;0.31106993;0.32003245;0.32877357;0.33688259;0.34497199;0.35484909;0.36200429;0.36868675;0.37532126;0.38220597;0.38815346;0.39512864;0.40179739;0.40801529;0.41397200;0.41988722;0.42529465;0.43156282;0.43645708;0.44273437;0.44805912;0.45379370;0.45909015;0.46291890;0.46746685;0.47066041;0.47417621;0.47668400;0.47888854;0.48005960;0.48160816;0.48315681;0.48491814;0.48718674;0.49068706;0.49473028;0.49900070;0.50547981;0.50883719;0.51013921;0.50940578;0.50956444;0.51097292;0.51219560;0.51234015;0.51366436;0.51185327;0.51278637;0.51323753;0.51374809;0.51285460;0.51215189;0.51255661;0.51340976;0.51312144;0.51355418;0.51254999;0.51208808;0.51031088;0.50907920;0.50507432;0.50308163;0.49349950;0.48551448;0.47577408;0.46774210;0.45622594;0.44297136;0.43006190;0.41331613;0.39348198;0.37827975;0.37085769;0.36354581;0.36138256;0.36095546;0.36102382;0.36446286;0.36474337;0.37158755;0.37496996;0.38310220;0.38993327;0.39988163;0.40616263;0.41911848;0.38282726
7;SYRAH;166.617;0.14462460;0.12211049;0.10694712;0.09597566;0.08838441;0.08174691;0.07684146;0.07108186;0.06794920;0.06467115;0.06144271;0.05803371;0.05628677;0.05440725;0.05300174;0.05146235;0.05035232;0.04959012;0.04873008;0.04755700;0.04683978;0.04603099;0.04498314;0.04393113;0.04324779;0.04223165;0.04159249;0.04095180;0.04012239;0.03947840;0.03907936;0.03850156;0.03791536;0.03759937;0.03723478;0.03689456;0.03668360;0.03640754;0.03632144;0.03620672;0.03620130;0.03591004;0.03578724;0.03548996;0.03540508;0.03535003;0.03520741;0.03494728;0.03473565;0.03453521;0.03483088;0.03465343;0.03450057;0.03423238;0.03404431;0.03400748;0.03402834;0.03393247;0.03396657;0.03393462;0.03396865;0.03406337;0.03422194;0.03445048;0.03464252;0.03488755;0.03523058;0.03558958;0.03611378;0.03658277;0.03719789;0.03788573;0.03847296;0.03914640;0.03977061;0.04002880;0.04065809;0.04119050;0.04195781;0.04261805;0.04326740;0.04386348;0.04448614;0.04481619;0.04542137;0.04599869;0.04671693;0.04740880;0.04840486;0.04901870;0.04900944;0.04873871;0.04858671;0.04878402;0.04970927;0.05099556;0.05321743;0.05708121;0.06357464;0.07350368;0.08648478;0.10081217;0.11525253;0.12855605;0.14147184;0.15358126;0.16495705;0.17564672;0.18616658;0.19607224;0.20654924;0.21588546;0.22546061;0.23398124;0.24270197;0.25113495;0.25932591;0.26720686;0.27525941;0.28289894;0.29008957;0.29722529;0.30571945;0.31184579;0.31758807;0.32304236;0.32958539;0.33452956;0.34019688;0.34589202;0.35167459;0.35697874;0.36144707;0.36644159;0.37130030;0.37532119;0.38089965;0.38530410;0.38980187;0.39419947;0.39709940;0.40013530;0.40361088;0.40574990;0.40762845;0.41027065;0.41029699;0.41074592;0.41197247;0.41365748;0.41540957;0.41746448;0.42159535;0.42510937;0.43078305;0.43323435;0.43318085;0.43250492;0.43366627;0.43350683;0.43348692;0.43482651;0.43424796;0.43397087;0.43482349;0.43379711;0.43424616;0.43434775;0.43213832;0.43263798;0.43360680;0.43269323;0.43316960;0.43216044;0.42976942;0.43018087;0.42725515;0.42356353;0.41982390;0.41363593;0.40696638;0.39924730;0.39057388;0.38254809;0.37151485;0.35812432;0.34353902;0.32752487;0.31708172;0.30787155;0.30478239;0.30372856;0.30260738;0.30281793;0.30330173;0.30826299;0.30968273;0.31356873;0.31991860;0.32686181;0.33500934;0.34139726;0.35435489;0.32588850
8;SYRAH;169.983;0.16365439;0.13878622;0.12245740;0.10988425;0.10149932;0.09409343;0.08742735;0.08232396;0.07794253;0.07379077;0.06967697;0.06698230;0.06491969;0.06279587;0.06087444;0.05931284;0.05804058;0.05704999;0.05584737;0.05477951;0.05411596;0.05276361;0.05134562;0.05044727;0.04959455;0.04832457;0.04758677;0.04675493;0.04606285;0.04530792;0.04468764;0.04409046;0.04362611;0.04301379;0.04262003;0.04215776;0.04178735;0.04147444;0.04125746;0.04111749;0.04111556;0.04076720;0.04077590;0.04049508;0.04032954;0.04006802;0.03983830;0.03947383;0.03947118;0.03940865;0.03953800;0.03937766;0.03898364;0.03866328;0.03859521;0.03841202;0.03845220;0.03835023;0.03831194;0.03833802;0.03837790;0.03840283;0.03862386;0.03883378;0.03906969;0.03922131;0.03958498;0.03999027;0.04034866;0.04088000;0.04147814;0.04214295;0.04272788;0.04336796;0.04396265;0.04423239;0.04490218;0.04535561;0.04603744;0.04670110;0.04733827;0.04795895;0.04867374;0.04922726;0.04988850;0.05049598;0.05137284;0.05228056;0.05330502;0.05423712;0.05457074;0.05436132;0.05468632;0.05515810;0.05637413;0.05806351;0.06080081;0.06499664;0.07182524;0.08165129;0.09411757;0.10808651;0.12224286;0.13516166;0.14823176;0.16068775;0.17282317;0.18415372;0.19567444;0.20665924;0.21787770;0.22861985;0.23979872;0.24973625;0.26024368;0.27011686;0.28021000;0.28988100;0.29964145;0.30871445;0.31734997;0.32673466;0.33692836;0.34484930;0.35167765;0.35956913;0.36812512;0.37427275;0.38219410;0.38980855;0.39732523;0.40402539;0.41100412;0.41750322;0.42391311;0.42989618;0.43754685;0.44377335;0.45026485;0.45662744;0.46142668;0.46559560;0.47079705;0.47384936;0.47759311;0.48097206;0.48304536;0.48491789;0.48674773;0.48971716;0.49277699;0.49646341;0.50073889;0.50664966;0.51318015;0.51649318;0.51854678;0.51889994;0.51999400;0.51999695;0.52196225;0.52294888;0.52330021;0.52382691;0.52555668;0.52522418;0.52498695;0.52557735;0.52420854;0.52532173;0.52514363;0.52507775;0.52615281;0.52574556;0.52356530;0.52241404;0.52147989;0.51545267;0.51134639;0.50402908;0.49589496;0.48649860;0.47617782;0.46376346;0.45032508;0.43375309;0.41717261;0.39685070;0.38331213;0.37302944;0.36521472;0.36426463;0.36377208;0.36400786;0.36525189;0.36594487;0.37223292;0.37628777;0.38481673;0.39077578;0.39804840;0.40542058;0.41911867;0.37999447
9;SYRAH;176.715;0.14929445;0.12356795;0.11019582;0.10045725;0.09237850;0.08511095;0.07962325;0.07467388;0.07023908;0.06709672;0.06336069;0.06099740;0.05865728;0.05714421;0.05533381;0.05435611;0.05293103;0.05221654;0.05131671;0.05025131;0.04926210;0.04828948;0.04726728;0.04635742;0.04554370;0.04460123;0.04387454;0.04303104;0.04261399;0.04190411;0.04148433;0.04062607;0.04027227;0.03965207;0.03934537;0.03901972;0.03866887;0.03852141;0.03831726;0.03827037;0.03834204;0.03800635;0.03789103;0.03785621;0.03767251;0.03749355;0.03726146;0.03691936;0.03684923;0.03680172;0.03684322;0.03663687;0.03631926;0.03612164;0.03612894;0.03597266;0.03584086;0.03579252;0.03578997;0.03581209;0.03590738;0.03597839;0.03614288;0.03616171;0.03653728;0.03669864;0.03696271;0.03732632;0.03783233;0.03818665;0.03873603;0.03921692;0.03984867;0.04036314;0.04084272;0.04108029;0.04168189;0.04202554;0.04265734;0.04307089;0.04367382;0.04408730;0.04455434;0.04500181;0.04548501;0.04599849;0.04676047;0.04752651;0.04838346;0.04897440;0.04915550;0.04916123;0.04931672;0.04973320;0.05070653;0.05230858;0.05478764;0.05834271;0.06421201;0.07257265;0.08303100;0.09464867;0.10646384;0.11742186;0.12854057;0.13925543;0.14977451;0.15959738;0.16960082;0.17923182;0.18907390;0.19876250;0.20828296;0.21714709;0.22633591;0.23494334;0.24400926;0.25233383;0.26105981;0.26944616;0.27715871;0.28508636;0.29413225;0.30100115;0.30735415;0.31377924;0.32088069;0.32665072;0.33318033;0.34036422;0.34637847;0.35207583;0.35813253;0.36303211;0.36853402;0.37394009;0.38029742;0.38535874;0.39138166;0.39589282;0.40026920;0.40364118;0.40778313;0.41077730;0.41359361;0.41600182;0.41728313;0.41895539;0.41990437;0.42184255;0.42406024;0.42717593;0.43135128;0.43621074;0.44153955;0.44365568;0.44484873;0.44542380;0.44543451;0.44530928;0.44645601;0.44775866;0.44774690;0.44817068;0.44852736;0.44753827;0.44787359;0.44758161;0.44638195;0.44656808;0.44723977;0.44608335;0.44563112;0.44598555;0.44489908;0.44489327;0.44292188;0.43798911;0.43519950;0.42784043;0.42039749;0.41303160;0.40525553;0.39560840;0.38521976;0.36908488;0.35614094;0.34016290;0.32694729;0.31561462;0.31280105;0.30968288;0.30958689;0.31088166;0.30803756;0.31348896;0.31576698;0.32201744;0.32425053;0.33111160;0.34090938;0.34836663;0.35784054;0.33280183
10;SYRAH;183.447;0.16151673;0.13783835;0.12089925;0.10972903;0.10037637;0.09356806;0.08762594;0.08191014;0.07705013;0.07311594;0.06979170;0.06644791;0.06443036;0.06280806;0.06036274;0.05884774;0.05819449;0.05719972;0.05610087;0.05476418;0.05326844;0.05249124;0.05171026;0.05062661;0.04936650;0.04844880;0.04763275;0.04683223;0.04620462;0.04539516;0.04486816;0.04409200;0.04352852;0.04305439;0.04255818;0.04212501;0.04188484;0.04162047;0.04148226;0.04129772;0.04114591;0.04086968;0.04074641;0.04063649;0.04048836;0.04015431;0.03997510;0.03960713;0.03952869;0.03937602;0.03934930;0.03927168;0.03900684;0.03867862;0.03849359;0.03833190;0.03833474;0.03823998;0.03817605;0.03814550;0.03821004;0.03833477;0.03840448;0.03862462;0.03882479;0.03893877;0.03916868;0.03941626;0.03989887;0.04020802;0.04072595;0.04121188;0.04168944;0.04232696;0.04266140;0.04293618;0.04334638;0.04370937;0.04428840;0.04464670;0.04527273;0.04564593;0.04614758;0.04659342;0.04725054;0.04783067;0.04849980;0.04929111;0.05032593;0.05100677;0.05136021;0.05135519;0.05170757;0.05210117;0.05307424;0.05478412;0.05711652;0.06076621;0.06685061;0.07529004;0.08603679;0.09788223;0.11013468;0.12144577;0.13303145;0.14455272;0.15567746;0.16618469;0.17715645;0.18755495;0.19845325;0.20875057;0.21932463;0.22887127;0.23977603;0.24930388;0.25924927;0.26887228;0.27842815;0.28806715;0.29698741;0.30588517;0.31694320;0.32521222;0.33306077;0.34063413;0.34882490;0.35614092;0.36418518;0.37202277;0.37999814;0.38690108;0.39395478;0.40058697;0.40801441;0.41444719;0.42200650;0.42822554;0.43577794;0.44159013;0.44633256;0.45119851;0.45690083;0.46073583;0.46485910;0.46805251;0.47073561;0.47223792;0.47529416;0.47769960;0.48137385;0.48560269;0.49032847;0.49579061;0.50308917;0.50672452;0.50823121;0.50900307;0.50955692;0.51096861;0.51223164;0.51365175;0.51571844;0.51495349;0.51569931;0.51726932;0.51770163;0.51725862;0.51745590;0.51747920;0.51784408;0.51809989;0.51776848;0.51756887;0.51590380;0.51493584;0.51229954;0.50876912;0.50504637;0.49593448;0.48792077;0.47909524;0.46898618;0.45717250;0.44413334;0.42810535;0.40989413;0.39102710;0.37551274;0.36558082;0.36048299;0.35493751;0.35496676;0.35414621;0.35591664;0.36079290;0.36320896;0.36637661;0.37349589;0.38237458;0.38777721;0.40013358;0.40677233;0.37688113
